Metal sensor 
Timestamp,analog value,digital value.
256290,4.9853,0
257292,4.9853,0
258295,4.9853,0
259297,4.9853,0
260300,4.9853,0
261302,4.9853,0
262305,4.9853,0
263307,4.9853,0
264309,4.9853,0
265312,4.9853,0
266314,4.9853,0
267317,4.9853,0
268319,4.9853,0
342500,2.4389,0
343502,2.3558,0
344504,2.3363,0
345507,2.2287,0
346509,2.3118,0
347512,4.8974,0
348514,4.9804,0
349517,4.9853,0
372573,0.6843,0
373575,0.6598,0
374578,0.7331,0
375580,3.1672,0
376582,4.9169,0
377585,4.9804,0
438734,4.9218,0
439736,2.5269,0
440738,2.3412,0
441741,0.6549,0
442743,0.6647,0
443746,2.1896,0
444748,2.0626,0
455775,1.5249,0
456778,1.1144,0
457780,1.4663,0
458782,2.0430,0
459785,1.0606,0
460787,4.8583,0
461790,4.9804,0
462792,4.9853,0
524943,2.0674,0
525946,2.0381,0
526948,2.0039,0
527950,2.0332,0
528953,1.9941,0
529955,1.9990,0
530958,1.9844,0
531960,1.9990,0
552009,1.8964,0
553011,1.9062,0
554014,1.9208,0
555016,1.9208,0
556019,1.9306,0
557021,1.9355,0
558023,1.8719,0
589099,0.6794,0
590102,4.8436,0
591104,1.8182,0
592106,1.7009,0
593109,1.7937,0
602131,2.4878,0
603133,2.4780,0
604136,2.8104,0
605138,2.6979,0
606141,4.9071,0
607143,4.9804,0
608145,4.9853,0
626189,4.9853,0
627192,4.9853,0
628194,4.9853,0
629197,4.9853,0
630199,4.9853,0
631202,4.9853,0
632204,4.9853,0
634209,4.9853,0
635211,4.9853,0
636214,4.9853,0
637216,4.9853,0
638219,4.9853,0
639221,4.9853,0
640223,4.9853,0
641226,4.9853,0
642228,4.9853,0
643231,4.9853,0
715406,4.9853,0
716408,4.9853,0
717411,4.9853,0
718413,4.9853,0
719416,4.9853,0
720418,4.9853,0
721421,4.9853,0
722423,4.9853,0
